;x;y;Ru;Pd;Ag;Pt;Au;Total
Spektrum 1 {297};-36.17;22.025;5.2;18.9;6.8;9.1;9.9;50.0
Spektrum 1 {298};-31.669;22.025;5.3;20.6;6.1;8.8;9.3;50.0
Spektrum 1 {299};-27.169;22.025;6.0;21.5;5.3;8.6;8.7;50.0
Spektrum 1 {300};-22.669;22.025;6.0;23.1;4.7;7.9;8.4;50.0
Spektrum 1 {301};-18.169;22.025;6.3;24.0;4.3;7.9;7.5;50.0
Spektrum 1 {302};-13.669;22.025;6.2;25.3;4.3;7.4;6.8;50.0
Spektrum 1 {303};-9.17;22.025;6.2;27.1;3.2;7.2;6.2;50.0
Spektrum 1 {304};-4.671;22.025;6.6;27.8;3.1;6.6;5.9;50.0
Spektrum 1 {305};-0.17;22.025;6.8;29.1;2.9;6.2;5.1;50.0
Spektrum 1 {306};4.318;22.025;6.4;30.0;2.7;6.1;4.8;50.0
Spektrum 1 {307};8.817;22.025;7.0;31.3;1.7;5.7;4.3;50.0
Spektrum 1 {308};13.317;22.025;6.8;32.8;1.6;5.0;3.8;50.0
Spektrum 1 {309};17.819;22.025;6.5;33.5;1.8;4.9;3.3;50.0
Spektrum 1 {310};22.317;22.025;6.7;34.3;1.7;4.2;3.1;50.0
Spektrum 1 {311};26.818;22.025;6.4;35.4;1.6;3.9;2.7;50.0
Spektrum 1 {312};31.318;22.025;6.5;35.9;1.5;3.7;2.4;50.0
Spektrum 1 {313};35.817;22.025;6.6;36.9;1.1;3.4;2.1;50.0
Spektrum 1 {314};40.318;22.025;6.6;37.5;0.7;3.3;1.9;50.0
Spektrum 1 {318};-36.17;26.525;5.1;18.7;6.6;9.9;9.6;50.0
Spektrum 1 {319};-31.67;26.525;5.8;20.2;6.1;9.4;8.5;50.0
Spektrum 1 {320};-27.172;26.525;6.3;21.1;6.0;8.7;8.1;50.0
Spektrum 1 {321};-22.671;26.525;6.1;22.3;5.1;8.9;7.7;50.0
Spektrum 1 {322};-18.171;26.525;6.6;23.9;4.7;8.2;6.7;50.0
Spektrum 1 {323};-13.669;26.525;6.8;24.3;4.4;7.9;6.6;50.0
Spektrum 1 {324};-9.169;26.525;6.8;26.3;3.6;7.8;5.6;50.0
Spektrum 1 {325};-4.67;26.525;6.8;27.1;3.5;7.1;5.5;50.0
Spektrum 1 {326};-0.17;26.525;7.0;28.7;2.8;7.3;4.3;50.0
Spektrum 1 {327};4.317;26.525;7.2;29.5;2.4;6.7;4.2;50.0
Spektrum 1 {328};8.818;26.525;7.1;30.8;2.1;6.1;3.9;50.0
Spektrum 1 {329};13.32;26.525;6.9;31.3;2.6;5.7;3.4;50.0
Spektrum 1 {330};17.82;26.525;7.0;32.8;2.0;5.3;2.9;50.0
Spektrum 1 {331};22.32;26.525;7.0;33.6;1.6;4.8;3.0;50.0
Spektrum 1 {332};26.818;26.525;7.0;34.6;1.5;4.3;2.6;50.0
Spektrum 1 {333};31.32;26.525;7.0;35.2;1.7;4.0;2.1;50.0
Spektrum 1 {334};35.82;26.525;7.0;36.5;0.9;3.7;1.9;50.0
Spektrum 1 {340};-31.671;31.026;6.3;20.0;6.0;10.1;7.7;50.0
Spektrum 1 {341};-27.171;31.026;6.4;20.7;6.1;9.9;7.0;50.0
Spektrum 1 {342};-22.669;31.026;6.4;21.9;5.5;9.3;6.9;50.0
Spektrum 1 {343};-18.17;31.026;6.9;23.3;4.9;9.2;5.7;50.0
Spektrum 1 {344};-13.67;31.026;7.2;24.3;4.3;8.5;5.6;50.0
Spektrum 1 {345};-9.169;31.026;7.0;26.0;3.5;8.3;5.2;50.0
Spektrum 1 {346};-4.669;31.026;7.6;26.3;3.2;8.1;4.8;50.0
Spektrum 1 {347};-0.171;31.026;7.4;27.9;3.1;7.5;4.1;50.0
Spektrum 1 {348};4.318;31.026;7.4;28.5;2.8;7.2;4.0;50.0
Spektrum 1 {349};8.818;31.026;7.7;29.6;2.3;6.8;3.7;50.0
Spektrum 1 {350};13.32;31.026;7.4;31.2;2.0;6.2;3.2;50.0
